design,temperature,predicted_power,real_power
usb_phy,270,369.1759296417236,393.56
aes,270,14702.488262939452,14897.08
i2c,270,658.8159529876709,677.45
wb_dma,270,2408.126133728027,2362.51
pci,270,12520.683833618164,12452.33
dynamic_node,270,12566.278193969727,12354.61
sasc,280,538.123825302124,531.52
des3_area,280,3343.7499011230466,3337.15
ethernet,280,44733.839960937505,46788.25
ss_pcm,280,354.67070838928225,332.39
ac97_ctrl,280,8717.27008605957,8496.47
spi,280,2234.2438209533693,2019.09
fpu,280,22649.89065979004,22722.61
tv80,280,5260.361778259277,5364.57
simple_spi,280,590.75057762146,607.59
usb_phy,280,369.17905960083004,395.54
aes,280,14702.495739746093,14757.0
i2c,280,658.8145072174073,677.45
wb_dma,280,2408.125729370117,2374.15
pci,280,12520.688869018555,12859.75
dynamic_node,280,12566.278255004883,12413.63
sasc,290,538.1240255737305,533.14
des3_area,290,3343.752392120361,3344.02
ethernet,290,44733.83825195313,41597.31
ss_pcm,290,354.67038223266604,340.71
ac97_ctrl,290,8717.263021240235,8288.42
spi,290,2234.2431228637697,2266.38
fpu,290,22649.889912109375,23060.0
tv80,290,5260.365814208984,5321.52
simple_spi,290,590.7519165802003,625.03
usb_phy,290,369.17711219787594,396.19
aes,290,14702.486203002929,14889.81
i2c,290,658.8164393615723,686.47
wb_dma,290,2408.128342437744,2457.23
pci,290,12520.680766601563,12273.17
dynamic_node,290,12566.279552001954,12336.51
sasc,300,538.1229708099365,534.89
des3_area,300,3343.754085845947,3327.11
ethernet,300,44733.84020507813,43695.58
ss_pcm,300,354.66911003112796,330.17
ac97_ctrl,300,8717.275563964844,8284.64
spi,300,2234.243843841553,2052.04
fpu,300,22649.890675048828,22742.58
tv80,300,5260.36589050293,5315.24
simple_spi,300,590.7547585296631,622.58
usb_phy,300,369.18533287048336,398.57
aes,300,14702.482815551757,14836.1
i2c,300,658.8174292755127,678.77
wb_dma,300,2408.137478637695,2380.02
pci,300,12520.679332275391,12281.35
dynamic_node,300,12566.277766723633,12321.43
sasc,310,538.1258947753906,536.42
des3_area,310,3343.749187774658,3338.37
ethernet,310,44733.83922851563,41396.88
ss_pcm,310,354.6688525390625,330.17
ac97_ctrl,310,8717.260579833985,8439.57
spi,310,2234.243210601807,2065.9
fpu,310,22649.890919189453,22949.51
tv80,310,5260.362968444824,5395.81
simple_spi,310,590.7558647918702,617.92
usb_phy,310,369.1808715820312,399.0
aes,310,14702.481411743163,14566.41
i2c,310,658.816960067749,676.4
wb_dma,310,2408.1290824890134,2339.41
pci,310,12520.68064453125,12377.95
dynamic_node,310,12566.284923095704,12333.27
sasc,320,538.129612197876,514.75
des3_area,320,3343.7525714111325,3360.37
ethernet,320,44733.83922851563,41412.75
ss_pcm,320,354.6699893188477,332.39
ac97_ctrl,320,8717.263875732422,8288.42
spi,320,2234.2441528320314,2005.26
fpu,320,22649.889286499023,22630.93
tv80,320,5260.364906311035,5278.59
simple_spi,320,590.754052810669,626.0
usb_phy,320,369.17857131958004,390.26
aes,320,14702.482189941406,14873.08
i2c,320,658.8166300964356,707.06
wb_dma,320,2408.136357116699,2421.03
pci,320,12520.679149169922,12160.53
dynamic_node,320,12566.291270751954,12365.9
sasc,330,538.124614944458,514.8
des3_area,330,3343.748443908691,3362.98
ethernet,330,44733.83922851563,47277.96
ss_pcm,330,354.6675822448731,332.39
ac97_ctrl,330,8717.26553894043,8418.8
spi,330,2234.2452438354494,2339.25
fpu,330,22649.890400390625,22490.9
tv80,330,5260.364181518555,5374.38
simple_spi,330,590.7540680694581,608.27
usb_phy,330,369.1768299102783,395.54
aes,330,14702.479611206054,14836.1
i2c,330,658.8151881408692,684.17
wb_dma,330,2408.126782226562,2370.66
pci,330,12520.681712646485,12545.42
dynamic_node,330,12566.276591796875,12426.31
sasc,340,538.1236421966553,514.8
des3_area,340,3343.7488101196286,3338.37
ethernet,340,44733.83922851563,45101.77
ss_pcm,340,354.6705615234375,332.39
ac97_ctrl,340,8717.262746582031,8314.58
spi,340,2234.242394256592,2295.43
fpu,340,22649.890247802734,23022.37
tv80,340,5260.362762451172,5281.92
simple_spi,340,590.750915222168,596.28
usb_phy,340,369.1941181182861,389.7
aes,340,14702.483868408202,14404.38
i2c,340,658.8148371887207,677.45
wb_dma,340,2408.1259811401364,2457.58
pci,340,12520.683436889649,12625.16
dynamic_node,340,12566.275401611329,12422.18
sasc,350,538.1232263946533,514.8
des3_area,350,3343.756096191406,3341.54
ethernet,350,44733.84020507813,44898.67
